A97-1020.pdf,This paper presents a new approach to automatic language learning that is based on natural language processing techniques.,0,This paper presents a new approach for automatic language learning.,0,This paper presents a new approach for automatic language learning.,0,
,FAIRSeq is distributed with a BSD license and is available on GitHub at https://www.pytorch.com/pytorches/fairseq/fairsequ.,1,FAIRSeq is distributed with a BSD license and is available on GitHub at https://www.pytorch.com/pytorches/fairseq/fairsequ.,1,The key idea in the paper is to use a learning rate scheduler to update the learning rate over the course of training.,0,
,,,,,"The paper also provides a new implementation of Adam, which is a memory efficient variant of Adam.",0,
,,,,,The paper also presents a new implementation for the inverse square root scheduler.,0,
,,,,,The paper also introduces a new learning rate scheduler for the inverse Square Root scheduler.,0,
,,,,,"The proposed method is evaluated on a variety of tasks, including translation, summarization, and language modeling.",0,
,"Neural sequence-to-sequence models have been successful on a variety of text generation tasks, including machine translation, abstractive document summarization, and language modeling.",1,"Neural sequence-to-sequence models have been successful on a variety of text generation tasks, including machine translation, abstractive document summarization, and language modeling.",1,This paper presents a new toolkit for a sequence modeling toolkit.,0,
,"In this paper, we present FAIRSEQ, a sequence modeling toolkit written in PyTorch that is fast, extensible, and useful for both research and production.",1,"In this paper, we present FAIRSEQ, a sequence modeling toolkit written in PyTorch that is fast, extensible, and useful for both research and production.",1,The key idea is to extend the baseFairseq model to a common interface between models and tasks.,0,
,"FAIRSEQ features: i) a common interface across models and tasks that can be extended with user-supplied plug-ins; ii) efficient distributed and mixed precision training; enabling training over datasets with hundreds of millions of sentences on current hardware; iii) efficient distribution and mixed precision training, enabling training over data with hundreds of millions sentences on current hardware.",1,FAIRSEQ features: i) a common interface across models and tasks that can be extended with user-supplied plug-ins; ii) efficient distributed and mixed precision training; enabling training over datasets with hundreds of millions of sentences on current hardware; iii) efficient distribution and mixed precision training.,1,The key idea of the paper is to extend the BaseFairsequence model to a shared interface between models and task.,0,
,"We provide tasks for translation, language modeling, and classification.",0,"We also abstract the methods through which the model interacts with the generation algorithm, e.g., beam search, through step-wise prediction.",1,The key idea in the paper is to use a learning rate scheduler to update the learning rate over the course of training.,0,
,We provide a variety of popular learning rates schedulers and implement them in PyTorches.,0,"We provide tasks for translation, language modeling, and classification.",0,"The paper also provides a new implementation of Adam, which is a memory efficient variant of Adam.",0,
,We provide supervised learning rates for a variety of tasks.,0,We provide a comprehensive overview of the methods and provide a comprehensive list of experiments.,0,The paper also presents a new implementation for the inverse square root scheduler.,0,
,,,,,The paper also introduces a new learning rate scheduler for the inverse Square Root scheduler.,0,
,,,,,"The proposed method is evaluated on a variety of tasks, including translation, summarization, and language modeling.",0,
Q17-1010.pdf,We present a method for learning continuous word representations of words.,1,This paper presents a method for learning continuous word representations of words.,1,This paper proposes a new model for learning continuous representations of words.,1,
,"We use a skipgram model to learn word representations for character n-grams, and use subword information to learn word representation.",1,"The method is based on a continuous skipgram model, which takes into account subword information.",1,"The model is based on a log-based model, which is based on the n-gram information.",0,
,"We evaluate our method on nine languages exhibiting different morphologies, showing the benefit of our approach.",1,"The method is evaluated on nine languages exhibiting different morphologies, showing the benefit of our approach.",1,"The model is trained on a large corpus of morphologically rich languages, and is evaluated on 9 languages exhibiting different morphologies.",0,
,We use n-gram count vectors to represent words.,0,"We propose a continuous skipgramm model, which takes in account subword information, and learns representations for character n-grams.",1,"The model is evaluated on a number of languages, including French, Spanish, and Finnish.",0,
,We use the sum of n-gram vectors to represent word representations.,1,We use a morphologically rich language model to learn word representations.,0,,,
,We use morphological information to learn word embeddings.,0,We use the morphologically robust morphological information to learn word representation.,0,,,
,We use the n-gram counts vectors to represent character n- Grams.,0,,,,,
,"We present a method for learning continuous representations of words, based on a skipgram model.",1,"This paper presents an extension of the continuous skipgram model (Mimicolov et al., 2013b) that takes into account subword information.",1,This paper proposes a new model for learning continuous representations of words.,1,
,"We use a n-gram skipgram model to learn representations of character n-grams, and use a subword information to learn representations for character n- Grams.",0,"We evaluate this model on nine languages exhibiting different morphologies, showing the benefit of our approach.",1,"The model is based on a log-based model, which is based on the n-gram information.",0,
,"We evaluate this method on nine languages exhibiting different morphologies, showing the benefit of our approach.",1,"We propose a new representation for character n-grams, which takes into account sub word information.",1,"The model is trained on a large corpus of morphologically rich languages, and is evaluated on 9 languages exhibiting different morphologies.",0,
,"We use n-gram information to learn representation of character n Grams, and use this information to learn representation for character n Gram vectors.",0,"We evaluate our model on nine languages with different morphologieses, showing the benefit.",1,"The model is evaluated on a number of languages, including French, Spanish, and Finnish.",0,
,"We use morphological information to learn representation from character n-Grads, and use the subword information to represent character n-Gazes.",0,We use a morphologically rich language model to represent words.,0,,,
,,,We use n-gram counts to represent words.,0,,,
W18-5446.pdf,"We present GLUE, a benchmark of nine NLI tasks, a auxiliary dataset for probing models for understanding of specific linguistic phenomena, and an online platform for evaluating and comparing models.",1,"This paper presents GLUE, a benchmark of nine NLI tasks, a auxiliary dataset for probing models for understanding of specific linguistic phenomena, and an online platform for evaluating and comparing models.",1,"This paper presents a new benchmark for GLUE, a benchmark of 9 diverse NLU tasks, a auxiliary dataset for probing models for understanding specific linguistic phenomena.",1,
,"The dataset includes a large variety of NLI tasks, including a wide range of domains, data quantities, and difficulties.",1,"The dataset includes a large variety of NLI tasks, including a wide range of domains, data quantities, and difficulties.",0,The dataset is a supplementary dataset for evaluating and comparing models.,1,
,"We evaluate models that use ELMo, a powerful transfer learning technique, and state-of-the-art sentence representation models.",1,"The dataset is designed to highlight common phenomena such as the use of world knowledge, logical operators, and lexical entailments, and basing our examples on naturally-occurring sentences from several domains.",1,"The dataset is designed to highlight common phenomena such as the use of world knowledge, logical operators, and lexical entailments.",1,
,"We evaluate models trained on a single task, using a BiL-STM between task-specific classifiers, and using six NLP researchers manually validate a random sample of the data.",0,"We evaluate models that use ELMo, a powerful transfer learning technique, and state-of-the-art sentence representation models.",1,"The dataset is built on top of the GLUE benchmark, which is a benchmark of nine diverse NLU tasks.",0,
,"We evaluate models on a range of NLI tasks from a wide range, data quantities, difficulties, and domains.",1,We evaluate models trained on a single task and evaluate models that use the same architecture but are trained on a different task.,0,The dataset is an auxiliary dataset for evaluating models for understanding specific language phenomena.,1,
,,,,,"The dataset includes a large range of tasks, data quantities, and difficulties.",1,
,,,,,The dataset is used to evaluate the performance of a number of models on the GLUE dataset.,0,
,,,,,The dataset is also used to evaluate the best models on the BLUE dataset.,0,
,,,,,The authors also evaluate the best models for the GLUE task.,0,
,,,,,The dataset is created by a combination of a bi-label-sTM and a pretrained model on the task-specific classifier.,0,
,,,,,The authors also show that the proposed dataset is a good fit for the GLEU benchmark.,0,
,"We present GLUE, a benchmark of nine NLI tasks, a auxiliary dataset for probing models for understanding of specific linguistic phenomena, and an online platform for evaluating and comparing models.",1,"This paper presents GLUE, a benchmark of nine NLI tasks, a auxiliary dataset for probing models for understanding of specific linguistic phenomena, and an online platform for evaluating and comparing models.",1,"This paper presents a new benchmark for GLUE, a benchmark of 9 diverse NLU tasks, a auxiliary dataset for probing models for understanding specific linguistic phenomena.",1,
,"The dataset includes a large variety of NLI tasks, including a wide range of domains, data quantities, and difficulties.",1,"The dataset includes a large variety of NLI tasks, including a wide range of domains, data quantities, and difficulties.",1,The dataset is a supplementary dataset for evaluating and comparing models.,1,
,"We evaluate models that use ELMo, a powerful transfer learning technique, as well as state-of-the-art sentence representation models.",1,"The dataset is designed to highlight common phenomena such as the use of world knowledge, logical operators, and lexical entailments, and basing our examples on naturally-occurring sentences from several domains.",1,"The dataset is designed to highlight common phenomena such as the use of world knowledge, logical operators, and lexical entailments.",1,
,"We evaluate models trained on a single task, using a BiL-STM between task-specific classifiers, and using six NLP researchers manually validate a random sample of the data.",0,"We evaluate models that use ELMo, a powerful transfer learning technique, and state-of-the-art sentence representation models.",1,"The dataset is built on top of the GLUE benchmark, which is a benchmark of nine diverse NLU tasks.",0,
,"We evaluate models on a range of NLI tasks from a wide range, data quantities, difficulties, and domains.",0,"We evaluate models trained on a single task, using a BiL-STM between task-specific classifiers.",0,The dataset is an auxiliary dataset for evaluating models for understanding specific language phenomena.,1,
,,,,,"The dataset includes a large range of tasks, data quantities, and difficulties.",1,
,,,,,The dataset is used to evaluate the performance of a number of models on the GLUE dataset.,0,
,,,,,The dataset is also used to evaluate the best models on the BLUE dataset.,0,
,,,,,The authors also evaluate the best models for the GLUE task.,0,
,,,,,The dataset is created by a combination of a bi-label-sTM and a pretrained model on the task-specific classifier.,0,
,,,,,The authors also show that the proposed dataset is a good fit for the GLEU benchmark.,0,
W18-6319.pdf,This paper presents a controlled manual evaluation of machine translation performance.,0,This paper presents a controlled manual evaluation of machine translation performance.,0,"This paper proposes a new metric for machine translation, namely BLEU, which is a metric for machine Translation.",0,
,The controlled manual evaluation is based on the use of a metric based on the BLEU score.,0,"The controlled manual evaluation is based on the BLEU score, which is a metric that measures the quality of a machine translation model.",0,"The authors propose a new python package, SACREBLEU, which automatically stores reference tokenization when sharing scores.",1,
,The controlled manually evaluation is based upon the use of metric-supplied reference tokenization.,0,The controlled manually evaluation is based upon the BLEU scores computed against different reference sets.,0,The authors show that the proposed method is a good way to measure the quality of a model.,1,
,The controlled hand evaluation is based in the sense that the controlled manual evaluation can be used to evaluate the performance of a machine translation model.,0,"The controlled hand evaluation is based in the sense that the controlled manual evaluations are not a single metric, but a constellation of parameterized methods.",0,,,
,We describe a controlled hand evaluation that is based on a metric-based metric based upon the BLEU scores.,0,"The controlled human evaluation is based primarily on the BLUE score, which is not a single parameterized method.",0,,,
,We show that the controlled hand evaluation can be used as a proxy for human evaluation of machine translation quality.,0,The controlled automatic evaluation is based solely on the BLE score.,1,,,
,,,"The controlled paper evaluation is based off of the BLEU scoring, which is based on a metric-supplied reference tokenization.",1,,,
,,,The controlled system is based on an LSTM-based approach.,0,,,
